transformer_num_layer,transformer_hidden_size,transformer_nhead,transformer_dropout,model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
4,16,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.45355225822,99.8807078619652
4,16,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,13170.08249319142,70.62828529216934
4,16,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.896385709784,99.86964805558056
4,16,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,21305.02425835191,96.40135232304031
4,16,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9161.377775092593,55.412625621904546
4,16,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9385.641462393129,57.242482200484616
4,16,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23012.700631108124,99.90872638373196
4,16,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.851886824305,100.09044883683056
4,16,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9104.202798056263,56.02870359986071
4,16,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,14601.303316228128,77.89127163714278
4,16,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9747.908883594837,58.73918453150612
4,16,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.32550246498,99.94756202568904
4,16,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,8875.362755278056,54.887596094293286
4,16,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.60181629371,99.9538676231016
4,16,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,13546.09923809498,75.38632709178019
4,32,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.169866963977,99.77884102779728
4,32,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.109478807062,99.78871431543352
4,32,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.3272421549,100.0898170900184
4,32,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.65845410525,99.8980174225761
4,32,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.94169904412,100.19654072347764
4,32,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.966534834937,100.28974305472552
4,32,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23012.99481187832,99.98974673162984
4,32,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.268489783834,100.35238847596747
4,32,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.66817995371,99.59090049536988
4,32,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.17114068631,99.98726538876618
4,32,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.584086144725,99.97729829317908
4,32,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.43763824772,99.87306005461608
4,32,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.81037137315,99.80342380021676
4,32,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.88435146393,99.9235709292627
4,32,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.749137722283,99.86252559927397
4,32,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.585096468774,100.09174624884616
4,64,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.122709453542,100.0271511814343
4,64,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.50444934526,100.05649279291184
4,64,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.40991865795,99.9314298651362
4,64,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.69009769894,99.80742125248102
4,64,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.468434407132,99.6758342457683
4,64,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.261584965017,99.8501506803146
4,64,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.55777648768,100.2210855367918
4,64,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.1148133258,99.98130968744309
4,64,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.079984892676,99.69544668679552
4,64,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.051185030363,100.33766447921582
4,64,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.2487928306,100.3068510380318
4,64,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.991322117778,100.2087604904958
4,64,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.817250870816,100.02911641079037
4,64,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.2547057584,99.9097121700229
4,64,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.508507522227,100.01123911287068
4,64,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.48570130498,99.801046443085
4,128,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23013.049689820626,100.0814505683388
4,128,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.2295280834,100.29226226776323
4,128,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.219771577897,99.9936153507618
4,128,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.349189198943,99.84062549316438
4,128,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.83272724239,99.74938616394816
4,128,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.79104288648,100.27733076603272
4,128,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.104610838,100.0347145816776
4,128,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23017.359543225648,100.26598828267292
4,128,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.708529661268,100.1029802473596
4,128,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.75383717465,100.13925296978742
4,128,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.40892036388,99.9133421905657
4,128,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.629411800088,100.14438735029148
4,128,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,23015.821985734,99.70018927325744
4,128,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.199460222688,99.75370578595331
4,128,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,23014.424381309916,100.00457100487046
4,128,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,23016.02225642789,99.72420993367602
