model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.05,1,128,16,30,32,10129.561421182694,61.885555419679335
LSTM,0.05,1,128,16,30,32,10782.980649005625,64.77673507519641
GRU,0.05,1,128,32,30,32,9845.364328100552,58.62933564742232
LSTM,0.05,1,128,32,30,32,9840.497224179788,61.337616472492485
GRU,0.05,1,128,64,30,32,9899.917546779148,60.425955098530686
LSTM,0.05,1,128,64,30,32,10085.342338223973,60.13581806447887
GRU,0.05,1,128,128,30,32,9890.096840394412,60.39559538313407
LSTM,0.05,1,128,128,30,32,23033.199503782846,98.93834498300798
GRU,0.05,2,32_16,16,30,32,23027.373839301235,99.22251408445148
LSTM,0.05,2,32_16,16,30,32,23034.56017627409,98.92562452882589
GRU,0.05,2,32_16,32,30,32,11201.75218732149,65.26315422621505
LSTM,0.05,2,32_16,32,30,32,23016.731950862588,99.8520035296341
GRU,0.05,2,32_16,64,30,32,11745.263517037552,66.33674669140056
LSTM,0.05,2,32_16,64,30,32,23034.419542833704,98.91382893411298
GRU,0.05,2,32_16,128,30,32,12530.836890778673,72.90872817286767
LSTM,0.05,2,32_16,128,30,32,23036.009411516803,98.90513312576448
GRU,0.05,2,64_32,16,30,32,10820.29748552134,62.529991491378254
LSTM,0.05,2,64_32,16,30,32,23025.658889124745,99.22722040069397
GRU,0.05,2,64_32,32,30,32,11154.74854136527,65.52245781682045
LSTM,0.05,2,64_32,32,30,32,23022.616891698384,100.14072746500699
GRU,0.05,2,64_32,64,30,32,11322.360191243652,66.43643567687637
LSTM,0.05,2,64_32,64,30,32,23016.814505513612,100.4812962992427
GRU,0.05,2,64_32,128,30,32,23031.668090310977,99.09550343546395
LSTM,0.05,2,64_32,128,30,32,11264.58048748378,67.46989524897396
GRU,0.05,2,128_64,16,30,32,10759.032539584447,62.87524402905667
LSTM,0.05,2,128_64,16,30,32,9775.633061976501,59.306098713335736
GRU,0.05,2,128_64,32,30,32,11169.41269792223,65.03157771905295
