model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
Transformer,0.005,5,512_256_128_64_32,32,30,32,8923.254047990295,54.52366102473674
Transformer,0.005,5,512_256_128_64_32,32,30,32,9279.27781456838,57.24479213881093
Transformer,0.005,5,512_256_128_64_32,32,30,32,9815.486195892267,59.47781693395206
Transformer,0.005,5,512_256_128_64_32,32,30,32,9996.754726422798,59.935826339130486
Transformer,0.005,5,512_256_128_64_32,32,30,32,8791.411472901895,54.51947091820935
Transformer,0.005,5,512_256_128_64_32,32,30,32,9163.962270596097,56.10356641284709
Transformer,0.005,5,512_256_128_64_32,32,30,32,9744.67895852219,59.13825730808176
Transformer,0.005,5,512_256_128_64_32,32,30,32,9904.680195184439,58.92053908478133
Transformer,0.005,5,512_256_128_64_32,32,30,32,9709.271248335206,58.490466577812995
Transformer,0.005,5,512_256_128_64_32,32,30,32,9507.698606627897,57.211420933686625
Transformer,0.005,5,512_256_128_64_32,32,30,32,10707.46872176836,61.11446152819775
Transformer,0.005,5,512_256_128_64_32,32,30,32,10613.475195060259,63.99165565535694
Transformer,0.005,5,512_256_128_64_32,32,30,32,9722.971631761624,58.85710789583023
Transformer,0.005,5,512_256_128_64_32,32,30,32,9564.205904215769,58.516986711758385
Transformer,0.005,5,512_256_128_64_32,32,30,32,9985.796815771766,59.76290672398757
Transformer,0.005,5,512_256_128_64_32,32,30,32,10663.857641810147,64.13365940715755
Transformer,0.005,5,512_256_128_64_32,32,30,32,8952.897103627776,55.73560904605127
Transformer,0.005,5,512_256_128_64_32,32,30,32,9325.738393400432,57.28525483275227
Transformer,0.005,5,512_256_128_64_32,32,30,32,9676.829973444796,58.71125569451257
Transformer,0.005,5,512_256_128_64_32,32,30,32,10020.394025457372,59.14540505644517
Transformer,0.005,5,512_256_128_64_32,32,30,32,8822.612279366338,55.20212923238527
Transformer,0.005,5,512_256_128_64_32,32,30,32,8980.861229217244,55.492098452298166
Transformer,0.005,5,512_256_128_64_32,32,30,32,9266.061616669824,57.26125911998389
Transformer,0.005,5,512_256_128_64_32,32,30,32,9879.741729633248,58.339679045222105
Transformer,0.005,5,512_256_128_64_32,32,30,32,8664.98585347449,52.86262748946148
Transformer,0.005,5,512_256_128_64_32,32,30,32,8828.800994830603,54.28775253088729
Transformer,0.005,5,512_256_128_64_32,32,30,32,9037.396933364793,54.91923973406377
Transformer,0.005,5,512_256_128_64_32,32,30,32,9369.193161947553,56.83103721492835
Transformer,0.005,5,512_256_128_64_32,32,30,32,8630.79939561977,53.05213350512917
Transformer,0.005,5,512_256_128_64_32,32,30,32,8840.564161398053,54.327650013168295
Transformer,0.005,5,512_256_128_64_32,32,30,32,9144.129090871344,55.63780536334541
Transformer,0.005,5,512_256_128_64_32,32,30,32,9369.136234349387,56.4409782180771
Transformer,0.005,5,512_256_128_64_32,32,30,32,8616.604335312717,53.47458495285284
Transformer,0.005,5,512_256_128_64_32,32,30,32,9212.521253913623,56.203788747521564
Transformer,0.005,5,512_256_128_64_32,32,30,32,9011.618365807157,54.900800978192365
Transformer,0.005,5,512_256_128_64_32,32,30,32,9447.853061347838,56.51644925555138
Transformer,0.005,5,512_256_128_64_32,32,30,32,8822.498727635884,54.96745235029534
Transformer,0.005,5,512_256_128_64_32,32,30,32,9214.07360992644,56.3539243483245
Transformer,0.005,5,512_256_128_64_32,32,30,32,9395.5174460863,57.365560543414766
Transformer,0.005,5,512_256_128_64_32,32,30,32,9468.904034398362,56.384102346388836
Transformer,0.005,5,512_256_128_64_32,32,30,32,9262.124668350993,56.26212605042397
Transformer,0.005,5,512_256_128_64_32,32,30,32,10002.452852579227,60.282892378078124
Transformer,0.005,5,512_256_128_64_32,32,30,32,9817.92397811165,58.97368097364038
Transformer,0.005,5,512_256_128_64_32,32,30,32,10959.999841669978,64.85937783448252
Transformer,0.005,5,512_256_128_64_32,32,30,32,9172.515398516278,56.29746821046199
Transformer,0.005,5,512_256_128_64_32,32,30,32,9185.203214351684,56.64842153440936
Transformer,0.005,5,512_256_128_64_32,32,30,32,9650.325094221886,59.32117339523985
Transformer,0.005,5,512_256_128_64_32,32,30,32,9930.251822929602,59.809352214188436
Transformer,0.005,5,512_256_128_64_32,32,30,32,8916.203821089404,55.22041389944854
Transformer,0.005,5,512_256_128_64_32,32,30,32,9098.375998682135,55.60738298535008
Transformer,0.005,5,512_256_128_64_32,32,30,32,9726.449434610477,59.05685617017528
Transformer,0.005,5,512_256_128_64_32,32,30,32,9793.91628930698,58.89832835867907
Transformer,0.005,5,512_256_128_64_32,32,30,32,8923.316427593509,55.32074498091244
Transformer,0.005,5,512_256_128_64_32,32,30,32,9046.439703862708,55.590058153620994
Transformer,0.005,5,512_256_128_64_32,32,30,32,9357.963818485496,57.285850434657306
Transformer,0.005,5,512_256_128_64_32,32,30,32,9549.333270580186,58.01430956484727
Transformer,0.005,5,512_256_128_64_32,32,30,32,9786.879044352198,59.66413476070952
Transformer,0.005,5,512_256_128_64_32,32,30,32,10861.658193229374,66.26975596641593
